,Car Name,Price,Year,Car Make,Car Model,Body Style,Condition Status,Mileage,Transmission Type,Engine Power,Fuel Type,Exterior Color,Interior Color,Stock Number,Vin Number
0,2004 MERCEDES-BENZ E240," KSh1,080,000.00",2004,Mercedes-Benz,E240 W211,Sedan,Pre-Owned,"170,000Kms",Automatic,2600CC,Petrol,Dark Blue,Jet Black,HOC0177,HOCK2022X0177
1,2006 ML350," KSh1,900,000.00",2006,Mercedes-Benz,ML350,SUV,Pre-Owned,"125,000Kms",Automatic,3500CC,Petrol,Silver,Ebony w/Perforated Leather Seating Surfaces,HOC0176,HOCK2022X0176
2,2011 TOYOTA HILUX," KSh2,650,000.00",2011,Toyota,Hilux,Pickup,Pre-Owned,"112,000Kms",Manual,3000CC,Diesel,Blue,Beige,HOC0175,HOCK2022X0175
3,2015 MAZDA CX-5," KSh2,250,000.00",2015,Mazda,CX-5,SUV,Foreign Used,"75,000Kms",Automatic,2200CC,Petrol,Grey,Jet Black,HOC0174,HOCK2022X0174
4,2009 TOYOTA AURIS," KSh850,000.00",2009,Toyota,Auris,Hatchback,Pre-Owned,"112,000Kms",Automatic,1500CC,Petrol,Pearl White,Jet Black,HOC0173,HOCK2022X0173
5,2014 MAZDA CX-5," KSh1,950,000.00",2014,Mazda,CX-5,SUV,Foreign Used,"91,000Kms",Automatic,2200CC,Diesel,Wine Red,Jet Black,HOC0172,HOCK2022X0172
6,2015 MERCEDES-BENZ A180," KSh1,970,000.00",2015,Mercedes-Benz,A180,Hatchback,Foreign Used,"60,000Kms",Automatic,1560CC,Petrol,Red,Jet Black,HOC0171,HOCK2022X0171
7,2012 NISSAN TEANA," KSh970,000.00",2012,Nissan,Teana 250XE,Sedan,Pre-Owned,"99,500Kms",Automatic,2490CC,Petrol,Silver,Beige,HOC0170,HOCK2022X0170
8,2015 HONDA STEPWGN," KSh1,890,000.00",2015,Honda,Stepwagon,Van,Foreign Used,"50,000Kms",Automatic,2000CC,Petrol,Wine Red,Jet Black/Ck Ash,HOC0169,HOCK2022X0169
9,2015 TOYOTA VOXY," KSh2,150,000.00",2015,Toyota,Voxy,Van,Foreign Used,"73,000Kms",Automatic,2000CC,Petrol,Black,Jet Black,HOC0168,HOCK2022X0168
10,2014 TOYOTA HARRIER," KSh3,250,000.00",2014,Toyota,Harrier Premium,SUV,Foreign Used,"75,000Kms",Automatic Hybrid,2000CC,Petrol,Carbon Black Metallic,Ebony w/Perforated Leather Seating Surfaces,HOC0167,HOCK2022X0167
11,2015 TOYOTA VOXY," KSh2,080,000.00",2015,Toyota,Voxy,Van,Foreign Used,"44,000Kms",Automatic,2000CC,Petrol,Silver,Jet Black,HOC0166,HOCK2022X0166
12,2011 NISSAN SYLPHY," KSh870,000.00",2011,Nissan,Sylphy,Sedan,Pre-Owned,,Automatic,2000CC,Petrol,Silver,Jet Black,HOC0165,HOCK2022X0165
13,2015 VOLKSWAGEN TOURAN," KSh1,680,000.00",2015,Volkswagen,Touran,Mini-Van,Foreign Used,"70,000Kms",Automatic,1400CC,Petrol,Pearl White,Jet Black,HOC0164,HOCK2022X0164
14,2015 TOYOTA FIELDER ( NON-HYBRID)," KSh1,680,000.00",2015,Toyota,Fielder,S. Wagon,Foreign Used,"88,000Kms",Automatic,1500CC,Petrol,Silver,Jet Black,HOC0163,HOCK2022X0163
15,1986 MERCEDES-BENZ W-124," KSh460,000.00",1986,Mercedes-Benz,W-124,Sedan,Pre-Owned,,Manual,2000CC,Petrol,Blue,Jet Black,HOC0162,HOCK2022X0162
